SalePrice,YearBuilt,YrSold,MonthSold,Size(sqf),Floor,HallwayType,HeatingType,AptManageType,N_Parkinglot,N_APT,N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_SchoolNearBy
141592.00,2006,2007,8,814,3,terraced,individual_heating,management_in_trust,111,3,1,1,1,9
51327.00,1985,2007,8,587,8,corridor,individual_heating,self_management,80,1,1,2,1,4
48672.00,1985,2007,8,587,6,corridor,individual_heating,self_management,80,1,1,2,1,4
380530.00,2006,2007,8,2056,8,terraced,individual_heating,management_in_trust,249,6,1,0,1,7
221238.00,1993,2007,8,1761,3,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
35840.00,1992,2007,8,355,5,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
78318.00,1992,2007,8,644,2,mixed,individual_heating,self_management,142,3,1,1,1,14
61946.00,1993,2007,8,644,10,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
84070.00,1993,2007,8,644,3,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
83185.00,1992,2007,8,644,13,mixed,individual_heating,self_management,142,3,1,1,1,14
168141.00,1986,2007,8,1377,4,terraced,central_heating,management_in_trust,713,7,1,1,0,6
153982.00,1986,2007,8,914,11,terraced,central_heating,management_in_trust,713,7,1,1,0,6
200884.00,2007,2007,8,868,18,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
60176.00,1985,2007,9,587,7,corridor,individual_heating,self_management,80,1,1,2,1,4
93362.00,1986,2007,9,910,7,corridor,individual_heating,management_in_trust,100,1,1,2,1,13
185840.00,1993,2007,9,1288,24,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
120796.00,1993,2007,9,914,2,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
64601.00,1992,2007,9,576,5,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
176991.00,1993,2007,9,1451,1,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
55752.00,1992,2007,9,576,1,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
38053.00,1992,2007,9,355,3,corridor,individual_heating,management_in_trust,200,3,1,1,1,17
92035.00,1993,2007,9,644,20,mixed,individual_heating,management_in_trust,523,8,2,0,1,17
181061.00,2007,2007,9,868,18,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
165486.00,1986,2007,9,1131,7,terraced,central_heating,management_in_trust,713,7,1,1,0,6
198230.00,2007,2007,9,868,12,terraced,individual_heating,management_in_trust,0,7,1,2,1,10
